City_ID,City_Name
0,ogaminana
1,yenagoa
2,lokoja
3,edea
4,uromi
5,bocaranga
6,pala
7,goundi
8,jalingo
9,mubi
10,bousso
11,massaguet
12,yagoua
13,bokoro
14,moussoro
15,ati
16,sarh
17,mongo
18,faya
19,am timan
20,kutum
21,birao
22,biltine
23,asyut
24,jalu
25,tahta
26,aswan
27,oum hadjer
28,alexandria
29,suez
30,marawi
31,jubayl
32,barbar
33,matay
34,karpathos
35,umm kaddadah
36,sakakah
37,bolu
38,golkoy
39,marsa matruh
40,kashary
41,abong mbang
42,mongoumba
43,carnot
44,asaba
45,gboko
46,nanga eboko
47,lagdo
48,lafia
49,kaele
50,gombe
51,fianga
52,maiduguri
53,melfi
54,kyabe
55,adre
56,awjilah
57,tukrah
58,dromolaxia
59,mikonos
60,bardiyah
61,busayra
62,kastamonu
63,ierapetra
64,sinop
65,tabuk
66,umm lajj
